n_points_per_county,n_counties,n_time_periods,n_components,mu1,defRt1,defRtMid,defRtLast,prY11,prY22
100,20,3,2,90,4,10,20,90,80
500,20,3,2,90,4,10,20,90,80
1000,20,3,2,90,4,10,20,90,80
