"x","fixed_effect","time","county_id","true_deforestation_probability","estimated_deforestation_probability_naive","estimated_deforestation_probability_em","estimated_deforestation_probability_md","county_id_factor","y_true","y_naive","y_em","y_md","x_first_diff","y_true_first_diff","y_naive_first_diff","y_em_first_diff","y_md_first_diff"
-0.403767876352856,-0.213297886418594,1,1,0.00978505549679039,0.126341463414634,0.00805407532479993,0.0139865714855372,"1",-4.61706576277145,-1.93370134036117,-4.8134903795266,-4.25557228398927,NA,NA,NA,NA,NA
-0.875258716420811,-0.213297886418594,2,1,0.00612911703110399,0.107699805068226,0.00908502744355626,2.15739133666309e-08,"1",-5.08855660283941,-2.11445484315676,-4.69200100841042,-17.6517809450651,-0.471490840067955,-0.471490840067956,-0.180753502795584,0.121489371116183,-13.3962086610758
1.08345263860482,-0.213297886418594,3,1,0.0418928180312865,0.133745835316516,0.0364502691381678,0.0346258688207942,"1",-3.12984524781378,-1.8682371107371,-3.27467525913395,-3.32791467041633,1.95871135502563,1.95871135502563,0.246217732419663,1.41732574927647,14.3238662746488
1.72899381428991,-0.213297886418594,4,1,0.0769658744117923,0.170527353376047,0.0753682570291061,0.0648799900005927,"1",-2.48430407212868,-1.58189441913308,-2.5070093504742,-2.66813561830712,0.645541175685091,0.645541175685092,0.286342691604013,0.76766590865975,0.659779052109211
-0.857613493350038,-0.213297886418594,5,1,0.0062375458924442,0.139107611548556,0.00210234173051826,0.0169097883905016,"1",-5.07091137976863,-1.82272169483202,-6.16259889100212,-4.06280823870054,-2.58660730763995,-2.58660730763995,-0.24082727569894,-3.65558954052792,-1.39467262039342
-0.628491418789366,-0.213297886418594,6,1,0.00783110826884839,0.140591966173362,0.00887529084770432,0.0138910501847751,"1",-4.84178930520796,-1.81038198132606,-4.71556926174361,-4.26252208410493,0.229122074560672,0.229122074560672,0.0123397135059653,1.44702962925851,-0.199713845404386
-1.45460675613612,-0.213297886418594,7,1,0.00344320076665403,0.164218258132214,0.00463114915176463,0.0426841069314091,"1",-5.66790464255471,-1.6271711193699,-5.370308338607,-3.11030677584898,-0.82611533734675,-0.82611533734675,0.183210861956161,-0.654739076863396,1.15221530825595
0.335247043895543,-0.213297886418594,8,1,0.0202716726134631,0.161030595813205,0.0249074303412269,0.0323464065614193,"1",-3.87805084252305,-1.65057985576528,-3.66736624349653,-3.39837123045301,1.78985380003166,1.78985380003166,-0.0234087363953803,1.70294209511047,-0.288064454604027
-1.72166923020656,-0.213297886418594,9,1,0.00263833053835305,0.145317545748116,0.00282734306447421,2.49113747375665e-07,"1",-5.93496711662516,-1.77180868280871,-5.86558650724623,-15.2053559789072,-2.0569162741021,-2.0569162741021,-0.121228827043431,-2.1982202637497,-11.8069847484542
1.07386406832568,-0.213297886418594,10,1,0.0415096399022264,0.156748140276302,0.0197906854753308,0.0172716332166303,"1",-3.13943381809292,-1.68262536418659,-3.9025547386335,-4.04126729385362,2.79553329853224,2.79553329853224,0.0891833186221169,1.96303176861273,11.1640886850536
1.45116898384939,-0.472325126892383,1,2,0.0464792086615102,0.14066250600096,0.0412198434583238,0.0378816683565394,"2",-3.021156143043,-1.80979828981773,-3.1467420284634,-3.23467013841623,NA,NA,NA,NA,NA
2.19423768325963,-0.472325126892383,2,2,0.0929540821816271,0.191321499013807,0.0964085277443375,0.0981206796559489,"2",-2.27808744363275,-1.44144618119497,-2.23778268724576,-2.21828257376963,0.743068699410244,0.743068699410244,0.368352108622762,0.908959341217635,1.0163875646466
-1.6228234813069,-0.472325126892383,3,2,0.00224870710607764,0.14118273841236,0.00365316232909384,1.36177993566791e-07,"2",-6.09514860819929,-1.80550109708035,-5.60850224353322,-15.809302894507,-3.81706116456653,-3.81706116456653,-0.364054915885381,-3.37071955628746,-13.5910203207374
1.22820262900011,-0.472325126892383,4,2,0.0375386623833314,0.155733333333333,0.0430686085379193,0.0356045811398805,"2",-3.24412249789227,-1.69032325761273,-3.10093730606718,-3.29902708276354,2.85102611030702,2.85102611030702,0.115177839467621,2.50756493746604,12.5102758117435
1.16373145586158,-0.472325126892383,5,2,0.0352775495941736,0.159041394335512,0.0262052230271034,0.0310149396224745,"2",-3.30859367103081,-1.66537792831644,-3.61524183710348,-3.44178018250183,-0.0644711731385339,-0.0644711731385339,0.0249453292962909,-0.514304531036299,-0.142753099738283
-1.52377623203072,-0.472325126892383,6,2,0.00248225786713284,0.16471897607123,0.000426789485395007,0.0199786985599057,"2",-5.9961013589231,-1.6235273773094,-7.75879279416093,-3.89290767363472,-2.6875076878923,-2.6875076878923,0.0418505510070379,-4.14355095705745,-0.451127491132888
0.397224375449611,-0.472325126892383,7,2,0.0167066484168099,0.157806379406827,0.0218740763458787,4.31740058234902e-06,"2",-4.07510075144277,-1.67464110624486,-3.80033621087518,-12.3528527364515,1.92100060748033,1.92100060748033,-0.0511137289354608,3.95845658328574,-8.45994506281683
-1.43730907869895,-0.472325126892383,8,2,0.00270583774903769,0.156599552572707,0.000402705130284434,0.0132848689041336,"2",-5.90963420559133,-1.68374994539865,-7.81690316423226,-4.30775566559585,-1.83453345414856,-1.83453345414856,-0.00910883915378924,-4.01656695335707,8.0450970708557
0.470981418727502,-0.472325126892383,9,2,0.0179624918050226,0.168355855855856,0.0147066440020714,0.0326465683319844,"2",-4.00134370816488,-1.59732470914069,-4.20464005557395,-3.38882417609987,1.90829049742645,1.90829049742645,0.0864252362579585,3.6122631086583,0.918931489495977
